,id,date,contract,volume,minAskPrice,maxAskPrice,minBidPrice,maxBidPrice,quantityOfAsk,quantityOfBid,tradingVolume,minMatchPrice,maxMatchPrice
0,564630144,2022-05-03T00:00:00.000+0300,PB22050300-01,1063.5,805.34,2517.27,805.34,2517.27,1253.5,1063.5,2085370.648,805.34,2517.27
1,564628482,2022-05-03T00:00:00.000+0300,PB22050300-02,0.8,1487.5,1487.5,1487.5,1487.5,0.8,0.8,2380.0,1487.5,1487.5
2,564895608,2022-05-03T00:00:00.000+0300,PB22050300-12,1.2,453.67,453.67,453.67,453.67,1.2,1.2,6532.848,453.67,453.67
3,564624509,2022-05-03T00:00:00.000+0300,PB22050300-24,0.6,864.29,865.0,864.29,865.0,0.6,0.6,12450.888,864.29,865.0
4,564624113,2022-05-03T00:00:00.000+0300,PH22050300,863.5,20.0,2575.0,1901.01,2700.0,2075.2,1253.7,1715048.942,1901.01,2290.0
5,564632115,2022-05-03T01:00:00.000+0300,PB22050301-01,929.2,503.54,1150.08,503.54,1150.08,929.6,931.2,921200.37,503.54,1150.08
6,564624115,2022-05-03T01:00:00.000+0300,PH22050301,995.3,0.5,1556.45,501.0,2588.0,1912.5,1423.5,969157.816,501.7,1150.0
7,564788640,2022-05-03T02:00:00.000+0300,PB22050302-01,472.6,200.24,566.5,200.24,566.5,472.6,472.6,247549.68,200.24,566.5
8,564655315,2022-05-03T02:00:00.000+0300,PB22050302-15,200.0,321.0,321.0,321.0,321.0,200.0,200.0,963000.0,321.0,321.0
9,564624117,2022-05-03T02:00:00.000+0300,PH22050302,847.4,0.01,1068.69,350.0,2588.0,1582.6,1758.1,408557.697,350.0,554.99
10,564788803,2022-05-03T03:00:00.000+0300,PB22050303-01,506.6,116.63,515.0,116.63,515.0,506.6,506.6,236066.218,116.63,515.0
11,564624213,2022-05-03T03:00:00.000+0300,PH22050303,866.4,0.01,515.0,204.0,2588.0,1376.1,1898.5,373703.86,204.0,515.0
12,564942268,2022-05-03T04:00:00.000+0300,PB22050304-01,462.3,47.69,257.49,47.69,257.49,462.3,464.3,102792.603,47.69,257.49
13,564624313,2022-05-03T04:00:00.000+0300,PH22050304,532.5,0.1,257.49,60.0,2588.0,913.9,1787.9,106328.624,60.0,250.99
14,565063812,2022-05-03T05:00:00.000+0300,PB22050305-01,449.6,60.21,206.01,60.21,206.01,449.6,449.6,83060.613,60.21,206.01
15,565103972,2022-05-03T05:00:00.000+0300,PB22050305-04,35.0,40.0,40.0,40.0,40.0,35.0,35.0,5600.0,40.0,40.0
16,564624454,2022-05-03T05:00:00.000+0300,PH22050305,627.4,0.1,206.01,60.0,2588.0,992.1,2310.4,93913.694,60.0,201.01
17,565094622,2022-05-03T06:00:00.000+0300,PB22050306-01,413.1,9.22,51.5,9.22,51.5,414.2,413.1,18901.655,9.22,51.5
18,565064226,2022-05-03T06:00:00.000+0300,PB22050306-02,0.9,38.0,38.0,38.0,38.0,0.9,0.9,68.4,38.0,38.0
19,565119956,2022-05-03T06:00:00.000+0300,PB22050306-04,9.0,54.75,54.75,54.75,54.75,9.0,9.0,1971.0,54.75,54.75
20,564624456,2022-05-03T06:00:00.000+0300,PH22050306,576.1,0.02,55.0,0.59,2599.0,1073.4,2259.7,21393.594,0.59,51.03
21,564928887,2022-05-03T07:00:00.000+0300,PB22050307-01,464.7,0.45,25.76,0.45,250.0,466.2,484.7,9954.74,0.45,25.76
22,564624458,2022-05-03T07:00:00.000+0300,PH22050307,713.5,0.01,26.06,0.51,2705.0,1054.2,2970.7,10307.862,0.51,26.06
23,564929570,2022-05-03T08:00:00.000+0300,PB22050308-01,477.3,16.23,51.49,16.23,51.49,479.2,477.3,22849.938,16.23,51.49
24,564629211,2022-05-03T08:00:00.000+0300,PB22050308-02,,,,131.33,131.33,,0.8,,,
25,564629067,2022-05-03T08:00:00.000+0300,PB22050308-03,0.8,131.33,131.33,131.33,131.33,0.8,0.8,315.192,131.33,131.33
26,564624460,2022-05-03T08:00:00.000+0300,PH22050308,600.0,0.01,70.0,10.0,2705.0,1068.0,2414.2,24058.3,10.0,70.0
27,564930178,2022-05-03T09:00:00.000+0300,PB22050309-01,576.1,25.03,500.0,25.03,500.0,617.1,636.1,68767.212,25.03,500.0
28,564624464,2022-05-03T09:00:00.000+0300,PH22050309,752.7,0.1,120.0,1.0,2705.0,1121.3,2151.4,61699.804,1.0,120.0
29,564930354,2022-05-03T10:00:00.000+0300,PB22050310-01,724.8,49.03,250.0,49.03,250.0,724.8,824.8,172143.402,49.03,250.0
30,564634174,2022-05-03T10:00:00.000+0300,PB22050310-03,0.5,416.66,416.66,416.66,416.66,0.5,0.5,624.99,416.66,416.66
