,id,date,contract,price,quantity
5883,866913124,2022-09-09T18:01:14.000+0300,PH22091022,4299.99,200
5885,866913467,2022-09-09T18:01:26.000+0300,PH22091016,3275.01,200
5886,866913529,2022-09-09T18:01:26.000+0300,PH22091007,3617.87,200
5887,866913765,2022-09-09T18:01:27.000+0300,PH22091007,3617.87,50
5888,866913577,2022-09-09T18:01:28.000+0300,PH22091016,3275.01,100
5889,866913773,2022-09-09T18:01:28.000+0300,PH22091016,3275.01,200
5890,866913794,2022-09-09T18:01:29.000+0300,PH22091016,3275.0,100
5891,866913987,2022-09-09T18:01:29.000+0300,PH22091016,3275.0,200
5892,866914154,2022-09-09T18:01:30.000+0300,PH22091016,3275.0,200
5893,866913904,2022-09-09T18:01:33.000+0300,PH22091003,3274.98,23
5894,866914760,2022-09-09T18:01:40.000+0300,PH22091005,4150.01,380
5895,866914967,2022-09-09T18:01:40.000+0300,PH22091016,3275.0,200
5896,866914484,2022-09-09T18:01:41.000+0300,PH22091016,3275.0,48
5897,866915406,2022-09-09T18:01:47.000+0300,PH22091004,3617.87,23
5898,866916381,2022-09-09T18:02:01.000+0300,PH22091006,4150.01,380
5899,866916975,2022-09-09T18:02:08.000+0300,PH22091005,4229.18,23
5900,866917780,2022-09-09T18:02:20.000+0300,PH22091006,4239.74,23
5901,866920055,2022-09-09T18:02:48.000+0300,PH22091008,3274.98,23
5902,866922308,2022-09-09T18:03:11.000+0300,PH22091010,4166.0,1
5903,866922404,2022-09-09T18:03:14.000+0300,PH22091010,4166.0,23
5904,866923268,2022-09-09T18:03:26.000+0300,PH22091011,4299.99,23
5905,866923477,2022-09-09T18:03:29.000+0300,PH22091018,4066.0,460
5906,866924797,2022-09-09T18:03:40.000+0300,PH22091005,4175.0,200
5907,866924662,2022-09-09T18:03:46.000+0300,PH22091000,4650.0,95
5908,866924695,2022-09-09T18:03:48.000+0300,PH22091006,4175.0,200
5909,866925289,2022-09-09T18:03:48.000+0300,PH22091012,3350.0,23
5910,866926553,2022-09-09T18:04:02.000+0300,PH22091013,3961.58,23
5911,866926661,2022-09-09T18:04:08.000+0300,PH22091022,4298.99,79
5912,866927317,2022-09-09T18:04:08.000+0300,PH22091022,4298.9,1
5913,866928550,2022-09-09T18:04:20.000+0300,PH22091005,4175.0,434
5914,866928701,2022-09-09T18:04:26.000+0300,PH22091006,4175.0,434
5915,866932001,2022-09-09T18:04:57.000+0300,PH22091005,4155.01,250
5916,866932516,2022-09-09T18:05:01.000+0300,PH22091006,4155.01,250
5918,866932632,2022-09-09T18:05:06.000+0300,PH22091002,3995.0,1
5923,866935490,2022-09-09T18:05:39.000+0300,PH22091019,4782.01,80
5924,866936335,2022-09-09T18:05:42.000+0300,PH22091023,3617.0,460
5925,866936469,2022-09-09T18:05:48.000+0300,PH22091018,4066.0,2
5926,866937442,2022-09-09T18:06:00.000+0300,PB22091001-04,3797.0,1000
5927,866940138,2022-09-09T18:06:28.000+0300,PB22091005-01,4249.99,917
5928,866940189,2022-09-09T18:06:31.000+0300,PH22091008,3275.0,50
5929,866940213,2022-09-09T18:06:32.000+0300,PH22091000,4700.0,200
5930,866942318,2022-09-09T18:06:50.000+0300,PH22091000,4700.0,100
5931,866942460,2022-09-09T18:06:56.000+0300,PH22091000,4700.0,100
5932,866946395,2022-09-09T18:07:38.000+0300,PH22091009,3750.01,23
5934,866948409,2022-09-09T18:08:04.000+0300,PH22091016,3275.0,4
5935,866949654,2022-09-09T18:08:20.000+0300,PH22091017,3550.0,4
5936,866952310,2022-09-09T18:08:50.000+0300,PB22091006-01,4250.0,736
5940,866952994,2022-09-09T18:08:55.000+0300,PH22091016,3275.0,32
5941,866953588,2022-09-09T18:09:02.000+0300,PH22091014,3750.0,32
5942,866953479,2022-09-09T18:09:04.000+0300,PH22091017,3550.0,32
5943,866953792,2022-09-09T18:09:06.000+0300,PH22091015,3500.0,32
5944,866953872,2022-09-09T18:09:10.000+0300,PB22091007-01,3617.87,1000
5945,866953891,2022-09-09T18:09:11.000+0300,PH22091007,3617.87,4
5946,866954455,2022-09-09T18:09:13.000+0300,PH22091013,3961.56,32
5947,866955010,2022-09-09T18:09:19.000+0300,PH22091011,4299.99,200
5948,866955193,2022-09-09T18:09:19.000+0300,PH22091011,4299.99,32
5949,866955381,2022-09-09T18:09:25.000+0300,PH22091010,4165.99,50
